"DOC_DATE(DATE)","수집소스(SOURCE)","행정동(DONG_NM)","행정구(GU_NM)","세부견인요소(KEYWORD_DETAIL)","견인요소(KEYWORD)","FREQ(FREQ)"
"20170415","블로그","동대문디자인플라자","종로구","전시장","기타",1
"20191016","블로그","종각","용산구","엽서","감성사진",1
"20170222","블로그","회현동","용산구","조명","예술성",2
"20170830","블로그","대림미술관","종로구","작품","기타",1
"20190723","블로그","용산","종로구","굿즈","건축",1
"20190118","블로그","강남미술관","서울","예술품","기타",1
"20170304","블로그","예술의전당","중구","전시장","기타",1
"20170225","블로그","용산구","용산구","작품","기타",1
"20190927","블로그","한가람미술관","종로구","화가","기타",1
"20170312","블로그","대림미술관","종로구","예술","예술성",1
"20190405","블로그","예술의전당한가람미술관","중구","스티커","기타",1
"20190123","블로그","서촌","서울","전시장","예술성",1
"20190617","블로그","도산공원","종로구","작가","건축",1
"20180714","블로그","예술의전당한가람미술관","송파구","인생샷","감성사진",2
"20170503","블로그","청담","용산구","화가","건축",3
"20191021","블로그","종로구","중구","전시장","기타",1
"20170709","블로그","서울","서울","포스터","기타",1
"20170704","블로그","서울","종로구","가이드","기타",1
"20190813","블로그","동대문","중구","촬영","예술성",1
"20181229","블로그","국립현대미술관","종로구","전시공간","기타",1
"20180418","블로그","선릉","서초구","가이드","기타",4
"20190114","블로그","잠실새내","중구","인생샷","감성사진",1
"20191021","블로그","서울","종로구","작품","기타",1
"20180525","블로그","대림미술관","영등포구","한컷","예술성",1
"20170317","블로그","서울역사박물관","용산구","작품","건축",1
"20180713","블로그","신도림동","중구","인테리어","건축",1
"20181201","블로그","상수역","강남구","조명","건축",1
"20170103","블로그","아라리오뮤지엄","성동구","촬영","기타",2
"20180204","블로그","인사동","성동구","스티커","예술성",1
"20180513","블로그","서촌","종로구","전시공간","예술성",1
"20180920","블로그","서울숲","중구","스티커","예술성",1
"20180716","블로그","서초","서초구","스티커","감성사진",1
"20190803","블로그","서촌","종로구","예술","기타",1
"20170814","블로그","성수동","서초구","인증샷","예술성",1
"20180519","블로그","대림미술관","서초구","인생샷","기타",1
"20190110","블로그","성수","강서구","포스터","기타",1
"20170423","블로그","부암동","용산구","전시장","감성사진",1
"20181019","블로그","가로수길","마포구","예술","감성사진",1
"20170224","블로그","국립현대미술관","중구","예술","예술성",1
"20190828","블로그","서울","강남구","작품","기타",1
"20190527","블로그","신논현","서울","촬영","기타",1
"20181219","블로그","홍대","서초구","예술","기타",1
"20170918","블로그","충무로","서초구","전시장","감성사진",1
"20170831","블로그","신촌","용산구","아티스트","기타",1
"20181102","블로그","서울","마포구","명화","기타",1
"20170407","블로그","을지로4가역","종로구","예술","예술성",1
"20190820","블로그","안국역","종로구","사진촬영","기타",1
"20190310","블로그","잠원","광진구","예술","기타",1
"20170717","블로그","인사동","종로구","장인","기타",1
"20181114","블로그","교대","은평구","전시장","감성사진",3
"20190907","블로그","인사동","종로구","전시장","기타",1
"20191114","블로그","광화문","송파구","sns","감성사진",1
"20190202","블로그","n타워","광진구","걸작","감성사진",1
"20170917","블로그","한가람미술관","서울","작품","기타",1
"20170201","블로그","회현동","성동구","작가","건축",1
"20190412","블로그","서촌","서초구","작가","감성사진",1
"20190523","블로그","경복궁","중구","작품","기타",1
"20170512","블로그","한남동","서초구","작품","건축",1
"20170418","블로그","경복궁","종로구","엽서","건축",1
"20171109","블로그","남산","용산구","포스터","기타",1
"20171124","블로그","국립미술관","종로구","건축","예술성",1
"20191130","블로그","광화문","마포구","촬영","기타",1
"20190630","블로그","국립중앙박물관","종로구","사진촬영","기타",1
"20170728","블로그","한강","용산구","조명","건축",1
"20170720","블로그","논현","강남구","포스터","예술성",1
"20180607","블로그","한강진","종로구","인테리어","예술성",1
"20170915","블로그","홍대","종로구","작가","기타",1
"20190110","블로그","국립미술관","성북구","전시장","예술성",1
"20190905","블로그","예술의전당","서초구","작품","예술성",1
"20180925","블로그","안국역","종로구","포토존","건축",2
"20180501","블로그","서울시립미술관","용산구","작품","예술성",1
"20170430","블로그","서울","종로구","명화","기타",1
"20190409","블로그","한남동","서울","취향저격","감성사진",1
"20170330","블로그","사당","강남구","스티커","건축",1
"20190507","블로그","서울시립미술관","종로구","화가","예술성",3
"20180917","블로그","연남동","마포구","셀카","건축",1
"20170407","블로그","도봉동","용산구","인테리어","건축",1
"20170316","블로그","세종문화회관","서대문구","전시장","감성사진",1
"20190227","블로그","서울시립미술관","종로구","전시장","건축",1
"20190131","블로그","예술의전당","종로구","작가","감성사진",2
"20190511","블로그","대림미술관","용산구","장인","감성사진",1
"20191223","블로그","카카오뮤지엄","서초구","가이드","기타",1
"20180319","블로그","대림","용산구","작품","기타",1
"20170107","블로그","국립미술관","종로구","셀카","건축",1
"20170108","블로그","안국역","서대문구","예술","건축",1
"20170708","블로그","서울역","종로구","조명","예술성",1
"20180926","블로그","서대문","용산구","장인","감성사진",1
"20180804","블로그","서울","마포구","인증샷","기타",1
"20170617","블로그","성수동","서초구","예술","감성사진",1
"20180903","블로그","디뮤지엄","서초구","인증샷","예술성",1
"20190325","블로그","홍대","용산구","화가","기타",1
"20180419","블로그","예술의전당한가람미술관","용산구","도슨트","기타",1
"20170319","블로그","방배","마포구","예술","감성사진",1
"20190314","블로그","성곡미술관","종로구","작가","기타",1
"20170329","블로그","서대문","용산구","작품","기타",1
"20190806","블로그","디뮤지엄","용산구","촬영","건축",1
"20181218","블로그","세종문화회관","강남구","작품","건축",1
"20170728","블로그","디뮤지엄","중구","예술가","기타",1
"20170122","블로그","서울역","성동구","작품","기타",1
"20190403","블로그","인사동","중구","예술","기타",1
"20180908","블로그","서울","서울","도슨트","기타",1
"20171111","블로그","광화문","서울","인테리어","예술성",1
"20190328","블로그","송파나루역","종로구","장인","기타",1
"20171113","블로그","대림미술관","종로구","문구","건축",1
"20190612","블로그","예술의전당","서초구","작가","기타",1
"20170130","블로그","서울역","종로구","작품","기타",1
"20180903","블로그","청파동","서초구","작가","건축",1
"20180918","블로그","홍대","강남구","작품","기타",1
"20170726","블로그","한강","용산구","포스터","예술성",1
"20190315","블로그","마곡","서초구","예술","기타",1
"20181203","블로그","용산역","서울","작가","건축",1
"20180714","블로그","서울","서울","포토존","예술성",1
"20171124","블로그","강남","종로구","셀카","감성사진",1
"20171125","블로그","서울숲","광진구","셀카","건축",2
"20171216","블로그","경리단길","강남구","작품","건축",1
"20170818","블로그","뚝섬","종로구","화가","기타",1
"20170819","블로그","코엑스","서울","작가","기타",1
"20181207","블로그","대림미술관","성동구","작품","기타",1
"20170407","블로그","부암동","서울","공간성","감성사진",2
"20190126","블로그","경복궁","서울","화가","건축",1
"20171006","블로그","인사동","서울","작품","감성사진",1
"20181107","블로그","서울","종로구","명화","건축",1
"20190617","블로그","뚝섬","마포구","작가","기타",1
"20170818","블로그","이태원","강남구","사진촬영","기타",1
"20190723","블로그","망원","종로구","사진촬영","예술성",1
"20190820","블로그","국립중앙박물관","종로구","예술가","감성사진",1
"20191006","블로그","서초","서울","포스터","기타",1
"20180815","블로그","예술의전당한가람미술관","종로구","전시장","예술성",1
"20181226","블로그","압구정","용산구","예술가","기타",1
"20170826","블로그","경복궁","서초구","작가","감성사진",1
"20170712","블로그","이태원","중구","작가","기타",1
"20180906","블로그","대림미술관","용산구","화가","감성사진",1
"20171216","블로그","대림미술관","용산구","문구","기타",1
"20180705","블로그","종각","종로구","취향저격","예술성",1
"20190516","블로그","경복궁","종로구","사진촬영","기타",1
"20180102","블로그","옥수","영등포구","작가","기타",1
"20170120","블로그","예술의전당","서초구","작품","건축",1
"20170114","블로그","환기미술관","중구","전시장","감성사진",2
"20180919","블로그","구로동","서울","포토존","기타",4
"20180710","블로그","홍대","종로구","예술가","건축",2
"20170804","블로그","봉천","성동구","조명","감성사진",1
"20190117","블로그","서울","마포구","전시공간","감성사진",1
"20180628","블로그","서울","강남구","인테리어","건축",1
"20190131","블로그","디뮤지엄","강남구","비쥬얼","건축",1
"20180716","블로그","디뮤지엄","서초구","작품","예술성",2
"20180210","블로그","창동역","서울","인증샷","기타",1
"20180521","블로그","성수","서초구","작품","감성사진",1
"20190717","블로그","전쟁기념관","성동구","전시장","건축",1
"20190513","블로그","서울미술관","종로구","작가","감성사진",1
"20190715","블로그","한남동","종로구","스티커","감성사진",1
"20170410","블로그","강변","영등포구","작품","기타",1
"20170225","블로그","대림미술관","서울","작품","기타",1
"20181231","블로그","용산구","강남구","건축물","예술성",1
"20170909","블로그","청담","용산구","예술","기타",3
"20180914","블로그","장충동","영등포구","포토존","감성사진",1
"20180907","블로그","예술의전당","서울","전시장","기타",1
"20190510","블로그","국립중앙박물관","성북구","전시공간","건축",1
"20170318","블로그","역사박물관","서초구","에코백","건축",1
"20190901","블로그","용산","종로구","작품","기타",1
"20170917","블로그","동대문디자인플라자","서울","예술가","기타",1
"20190305","블로그","서울","종로구","아티스트","기타",1
"20180117","블로그","중앙동","마포구","작품","기타",2
"20170123","블로그","서울","종로구","작가","예술성",1
"20170411","블로그","대림미술관","종로구","촬영","기타",1
"20170215","블로그","강남","종로구","전시장","기타",2
"20171124","블로그","한가람미술관","종로구","문구","감성사진",1
"20180218","블로그","수서동","성동구","사진촬영","기타",1
"20191024","블로그","뚝섬","서초구","작품","감성사진",1
"20180511","블로그","덕수궁미술관","종로구","예술","감성사진",1
"20190721","블로그","예술의전당","서울","포스터","건축",1
"20170809","블로그","홍제동","서울","셀카","감성사진",1
"20170731","블로그","예술의전당","영등포구","예술","기타",1
"20180825","블로그","서울","송파구","작품","기타",1
"20190812","블로그","강남","마포구","촬영","감성사진",1
"20170321","블로그","삼청동","광진구","아티스트","감성사진",1
"20170203","블로그","신촌","용산구","인테리어","기타",1
"20170525","블로그","중구","중구","문구","기타",1
"20180702","블로그","서울","성동구","화가","예술성",1
"20180727","블로그","홍대입구역","강남구","도슨트","기타",1
"20180822","블로그","아르코미술관","중구","포토존","감성사진",1
"20191216","블로그","홍대","종로구","포스터","기타",1
"20190625","블로그","디뮤지엄","영등포구","작품","건축",1
"20170108","블로그","세종문화회관","마포구","예술가","예술성",1
"20190310","블로그","서울","강남구","에코백","예술성",1
"20170102","블로그","예술의전당한가람미술관","용산구","인테리어","감성사진",1
"20190718","블로그","국립현대미술관","마포구","작품","기타",1
"20190618","블로그","예술의전당","서울","포토존","감성사진",1
"20170328","블로그","한남동","용산구","작품","감성사진",1
"20180926","블로그","대림미술관","종로구","명화","기타",2
"20190821","블로그","대림미술관","성동구","아티스트","건축",1
"20190219","블로그","회기","종로구","작품","기타",1
"20181122","블로그","어린이박물관","종로구","셀카","기타",1
"20170227","블로그","서울시립미술관","서초구","포스터","예술성",1
"20180917","블로그","이태원","종로구","인스타그램","예술성",1
"20181117","블로그","안국역","서울","작품","기타",1
"20180605","블로그","국립현대미술관","용산구","인테리어","건축",1
"20170320","블로그","서울시립미술관","종로구","조명","기타",1
"20170524","블로그","예술의전당","종로구","화가","건축",1
"20171109","블로그","평창동","용산구","인생샷","기타",1
"20190818","블로그","예술의전당한가람미술관","서초구","작가","예술성",1
"20180520","블로그","신사역","중구","전시장","건축",1
"20180826","블로그","서울","용산구","건축가","기타",1
"20191030","블로그","서울","은평구","셀카","감성사진",1
"20180316","블로그","삼청동","강남구","전시공간","기타",1
"20190929","블로그","서촌","서초구","화가","기타",1
"20180426","블로그","압구정로데오역","마포구","작가","예술성",1
"20181101","블로그","을지로","용산구","예술","예술성",1
"20170225","블로그","용산","종로구","비쥬얼","건축",1
"20180811","블로그","서울숲","서초구","작가","건축",1
"20170301","블로그","동대문역사문화공원","종로구","작품","기타",1
"20180128","블로그","박노수미술관","종로구","작품","기타",1
"20170206","블로그","삼청동","중구","사진촬영","기타",1
"20170411","블로그","갈현동","강남구","작품","예술성",1
"20180622","블로그","홍대","서초구","인테리어","감성사진",2
"20190903","블로그","예술의전당","중구","작품","건축",1
"20190909","블로그","광화문역","종로구","작품","기타",1
"20190731","블로그","올림픽공원","종로구","작가","예술성",1
"20190202","블로그","경복궁","중구","예술","감성사진",1
"20180625","블로그","k현대미술관","용산구","굿즈","기타",1
"20180710","블로그","서울역사박물관","중구","엽서","감성사진",1
"20170805","블로그","옥수역","종로구","엽서","기타",1
"20171206","블로그","대림미술관","강남구","엽서","감성사진",1
"20180223","블로그","서촌","종로구","작가","예술성",1
"20191102","블로그","성수동","중구","포토존","감성사진",1
"20170828","블로그","서울","성동구","작품","감성사진",1
"20190116","블로그","중앙동","강남구","인테리어","예술성",1
"20180214","블로그","둔촌동","용산구","작가","건축",1
"20190411","블로그","신용산역","종로구","건축","건축",1
"20170130","블로그","한강","성동구","인증샷","기타",1
"20190408","블로그","디뮤지엄","용산구","엽서","기타",1
"20170714","블로그","디뮤지엄","종로구","가이드","감성사진",1
"20180402","블로그","서울","서울","도슨트","기타",1
"20181203","블로그","혜화","서울","촬영","기타",1
"20191026","블로그","북촌","서초구","거장","감성사진",1
"20171026","블로그","코엑스","은평구","작가","감성사진",1
"20181214","블로그","삼성역","서울","비쥬얼","건축",1
"20181213","블로그","성수","서울","작가","예술성",1
"20181124","블로그","독립문","서초구","작가","예술성",1
"20170531","블로그","서초","종로구","갬성","기타",1
"20190122","블로그","망원동","용산구","전시장","기타",2
"20170327","블로그","국립미술관","용산구","굿즈","기타",1
"20190814","블로그","서울시립미술관","서울","인테리어","기타",1
"20190822","블로그","코엑스","서대문구","예술가","기타",1
"20170608","블로그","마포","용산구","작품","감성사진",1
"20190422","블로그","한가람미술관","용산구","작품","감성사진",1
"20170205","블로그","디뮤지엄","용산구","포토존","건축",1
"20180714","블로그","동대문디자인플라자","서초구","작가","감성사진",1
"20170909","블로그","사비나미술관","마포구","작가","감성사진",1
"20190607","블로그","인사동","강남구","전시장","기타",1
"20191105","블로그","명동","종로구","인스타그램","기타",1
"20170929","블로그","성균관대","중구","촬영","기타",1
"20180720","블로그","홍대입구역","중구","포토존","예술성",1
"20180528","블로그","상수","광진구","스티커","감성사진",1
"20171025","블로그","부암동","중구","포스터","기타",1
"20171031","블로그","광화문","용산구","사진촬영","건축",1
"20181127","블로그","연남동","강남구","전시장","기타",1
"20181030","블로그","이태원","서울","작품","예술성",1
"20170322","블로그","경복궁역","종로구","예술","감성사진",1
"20180326","블로그","디뮤지엄","종로구","조명","기타",1
"20170214","블로그","한강","용산구","예술","예술성",1
"20191109","블로그","한강","서울","포토존","건축",1
"20190113","블로그","예술의전당","강남구","조명","예술성",1
"20180622","블로그","서울","종로구","작품","건축",1
"20181023","블로그","한남동사운즈","서초구","외관","기타",1
"20170310","블로그","서울","서초구","예술","감성사진",1
"20170914","블로그","버티고개","종로구","전시장","감성사진",1
"20171221","블로그","용산","중구","예술","예술성",1
"20190116","블로그","압구정로데오","강남구","비쥬얼","기타",1
"20180726","블로그","이태원","종로구","인테리어","기타",2
"20181025","블로그","이촌역","영등포구","사진촬영","기타",1
